,Quality,ID#1,ID#2,#1 String,#2 String
728,1,1006726,1006791,"On Thursday, Lee won a preliminary injunction in New York preventing Viacom from using the name ""Spike TV.""","On Thursday, a New York City judge ordered Viacom to stop using the name Spike TV pending a trial."
729,1,3388966,3389018,"A grief-stricken old woman, disconsolate with grief, smeared her face with dirt, uttering: ""My child, my child.""","One old woman, disconsolate with grief, smeared her face with dirt, only able to utter: ""My child, my child."""
730,1,1741621,1742071,In 1999 a California legislator proposed a law requiring driving tests for those over the age of 75 who sought to renew their licenses.,In 1999 a California state senator proposed a law requiring motorists over the age of 75 to take driving tests to renew their licenses.
732,1,2241925,2242066,"Chad Kolton, emergency management spokesman with the Department of Homeland Security, said the government is open to new technologies and methods to communicate more quickly and efficiently.","Chad Kolton, emergency management spokesman with the Department of Homeland Security, said the government is open to new ways to communicate."
733,1,1603953,1603866,The results will be published the July 10 issue of the journal Nature.,The results appear in Thursday’s issue of the journal Nature.
734,1,2573271,2573289,"The Opposition Leader, Simon Crean, said John Howard had been forced to make changes by the incompetence of his ministers.","The Leader of the Opposition, Simon Crean, said from Jakarta that the reshuffle had been forced by ministerial incompetence."
735,1,62712,62605,"In fact, 10 million shares of the sale went to an unidentified charitable trust - which promptly sold them.","Turner said he transferred 10 million additional shares to a charitable trust, which also liquidated them."
737,1,577830,578527,The WHIMS study found that combination hormone therapy doubled the risk for probable dementia in women 65 and older and did not prevent mild cognitive impairment.,One study found that combination therapy doubled the risk of probable dementia and did not prevent less-severe mental decline.
739,1,1793282,1793115,Researchers found that people 65 and older who had fish once a week had a 60% lower risk of Alzheimer's than those who never or rarely ate fish.,"Older people who eat fish at least once a week could cut their risk of Alzheimer's by more than half, a study suggests."
741,1,2796978,2797024,"""APEC leaders are painfully aware that security and prosperity are inseparable,"" Thai Prime Minister Thaksin Shinawatra told business leaders.","""APEC leaders are painfully aware that security and prosperity are inseparable,"" Thaksin said."
742,1,1958219,1958344,Clayton's shares were also suspended from trading on the New York Stock Exchange.,Clayton Homes' stock ceased trading on the New York Stock Exchange after Wednesday's close.
743,1,3349925,3349953,"The cleanup, including new carpeting, electrical wiring and bathrooms, cost about $130 million.","The $130 million cleanup included new carpet, electrical wiring and bathrooms."
744,1,1551928,1551941,"Three such vigilante-style attacks forced the hacker organiser, who identified himself only as ""Eleonora67],"" to extend the contest until 8am (AEST) today.","Three such vigilante-style attacks forced the hacker organizer, who identified himself only as ""Eleonora67,"" to extend the contest until 6 p.m. EDT Sunday."
746,1,1369889,1369743,"US authorities blame Al Qaeda for the attacks, which killed 231 people, including 12 Americans.","U.S. authorities blame Osama bin Laden's al-Qaida network for the attacks, which killed 231 people, including 12 Americans."
748,1,703785,703995,Bremer said one initiative is to launch a US$70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.,"Bremer said he would launch a $70-million program in the next two weeks to clean up neighborhoods across Iraq and build community projects, but gave no details."
749,1,816836,816862,"Earlier this year, the company announced a restatement of its 2002, 2001 and 2000 financial results.","Earlier this year, the company said it would restate its 2000, 2001 and 2002 financial results."
750,1,3254507,3254576,U.S. same-store sales last months at Tim Hortons rose 8.8 per cent.,Tim Hortons' same-store sales in Canada rose by 6.7 per cent.
751,1,2486780,2486826,World economic leaders hailed signs of a global revival on Tuesday but agreed it had to be handled with care to prevent any setback.,"DUBAI, SEPTEMBER 23:  The world economic leaders hailed on Tuesday signs of a global revival but agreed it had to be handled with care to prevent any setback."
753,1,881910,882010,Police said they believe Cruz knew of the girl through one of her former schoolmates - though neither the girl nor her family knew him.,"Police said on Monday they believed Cruz knew of the fourth-grade girl through one of her former schoolmates, although neither the girl nor her family knew him."
754,1,1023571,1023460,"Peck died peacefully at his Los Angeles home early Thursday with his wife of 48 years, Veronique, by his side.","Peck, who was 87, died peacefully at his Los Angeles home last Thursday with his French-born wife of 48 years, Veronique, at his side."
756,1,2122033,2121806,"But in the end, all the worm did was visit a pornography site, said Vincent Weafer, a security director with Symantec Security Response in California.","But Vincent Weafer, security director with Symantec Security Response, said all the virus did was visit a pornography site."
757,1,1859329,1859352,"While it was being called mandatory, Dupont said authorities were not forcing people from their homes.","It was called mandatory, but Dupont said authorities did not force people to leave."
758,1,21117,21294,Shares in Juniper Networks jumped more than 10 per cent on Monday after the networking equipment maker inked a sales and marketing deal with Lucent Technologies.,"The stock of Juniper Networks Inc. rose sharply Monday after the Mountain View, Calif.-based network-equipment maker announced a distribution and development deal with Lucent Technologies Inc."
760,1,2029879,2029809,"The report said the Corpus Christi-based agent twice called Escobar while the legislator was with the other protesting Democrats in Ardmore, Okla.","The report said the agent twice called state Rep. Juan Escobar while he was with the other protesting Democrats in Ardmore, Okla."
761,1,2886542,2886524,"Yesterday, shares closed up 29 cents, or 0.54 percent, at $54.32.","Amazon's shares yesterday closed at $54.32 on the Nasdaq Stock Market, up 29 cents."
762,1,1570656,1570634,"North American futures pointed to a sub-par start to trading on Tuesday, with investors ready to get their first taste of quarterly earnings.","North American stock markets got off to a slow start Tuesday, with investors ready to get their first taste of quarterly earnings."
763,1,1106299,1106238,President Bush and top officials in his administration cited the threat from Iraq's alleged chemical and biological weapons and nuclear weapons program as the main justification for going to war.,President George Bush and top administration officials cited the threat from Iraq's banned weapons programs as the main justification for war.
764,1,1702374,1702510,"Officials with Rescue California, one of the groups leading the recall campaign, called the lawsuit laughable.","The director of Rescue California, the group leading the recall campaign, called the lawsuit ""laughable."""
765,1,607862,607926,"The agreement resolves a lawsuit AOL filed against Microsoft in January 2002 on behalf of its subsidiary, Netscape Communications.",The legal settlement resolves the private anti-trust lawsuit filed against Microsoft in January 2002 by AOL Time Warner's America Online unit on behalf of its Netscape subsidiary.
767,1,1742856,1742961,"Dell has about 32 percent of the U.S. market, but much lower share in the rest of the world.","Dell has 32 percent of the PC market in the United States, but it has only a 10 percent share in the rest of the world."
768,1,1946070,1946095,"He was sent to Larned State Hospital, where he was evaluated and treated.",He ordered him sent to the Larned State Security Hospital for continued evaluation and treatment.
771,1,2905740,2905779,The report shows that drugs sold in Canadian pharmacies are manufactured in facilities approved by Health Canada - the FDA's counterpart in Canada.,"The report shows that drugs sold in Canadian pharmacies are manufactured in facilities approved by Health Canada, which serves a similar role as the FDA for the Canadian government."
773,1,556729,556771,"After about three hours of negotiations, the gunman released the hostages after authorities delivered on his request for soft drinks.","After about three hours of negotiations, the gunman released the hostages when authorities delivered on his request for a six-pack of soda."
774,1,3009407,3008992,Lee Peterson testified that he reached his son on his cell phone and talked to him for a couple of minutes.,Lee said he reached Scott on his cell phone and they talked for a couple minutes between noon and 2 p.m. on Dec. 24.
780,1,214550,214034,"The judge ordered the unsealing yesterday at the request of several news agencies, including The Seattle Times, The Associated Press and the Seattle Post-Intelligencer.","The depositions were made public yesterday at the request of the P-I, The Seattle Times and The Associated Press."
781,1,327839,327748,Wittig resigned last year after being indicted on federal bank fraud charges involving a real estate loan unrelated to Westar business.,Wittig resigned in late November about two weeks after being indicted on bank fraud charges in a real estate case unrelated to the company.
782,1,1369897,1369750,Assani said Tuesday he did not know what to charge the men with because US officials refused to share information with him.,Prosecutors said they did not know what crimes to charge the men with because U.S. officials refused to share information with them.
783,1,578529,578450,"Researchers predicted an additional 23 cases of dementia a year for every 10,000 women on the therapy.","This represents an additional 23 cases of dementia per year in every 10,000 women treated."
784,1,3088719,3088344,"Jacob has pushed consolidation for years, but he has said many communities, especially rural ones, have opposed it.","Jacob has pushed consolidation for years but said it has been opposed by many communities, especially rural ones."
785,1,637875,637821,"A slit the size of one created in the test would let in a stream of gas three times as hot as a blowtorch.""",A slit the size of one created in the test would let in a stream of gas three times hotter than a blowtorch.
786,1,1587560,1587910,Legato stockholders will get 0.9 of a share of EMC stock for every share of Legato they own.,"Under terms of the agreement, Legato stockholders will receive 0.9 shares of EMC common stock for each Legato share they hold."
787,1,3224745,3224869,"""The Republicans went into a closet, met with themselves, and announced a 'compromise.'""","""The Republicans went into a closet, met with themselves, and announced a compromise,"" Hollings said in a statement."
789,1,1657631,1657617,"Goodrem, 18, announced on Friday that she was suffering Hodgkin's disease, a curable form of lymphoma cancer.","It was announced on Friday that Goodrem had been diagnosed with Hodgkin's disease, a form of cancer which affects the lymph nodes."
790,1,2330905,2330778,"He says that ""this is a time when we priests need to be renewing our pledge to celibacy, not questioning it.","""This is the time we priests need to be renewing our pledge to celibacy, not questioning it,"" he wrote."
791,1,2516995,2517032,"Myanmar's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery, her personal physician said Friday.","Burma pro-democracy leader Aung San Suu Kyi will be released from a hospital after recovering from surgery but remain under detention at home, her personal physician said today."
793,1,20860,20886,United already has paid the city $34 million in penalties for not meeting the first round of employment targets.,United has paid $34 million in penalties for failing to meet employment targets.
794,1,960865,960919,The budget fell steadily until dropping as low as $2.93 billion in 1998 and has gradually risen to $3.27 billion for fiscal 2002.,It fell steadily until it dropped as low as $2.93 billion in 1998 and rose gradually to $3.27 billion for fiscal 2002.
795,1,4544,4728,"A council of up to nine Iraqis probably will lead the countrys interim government through the coming months, the U.S. civil administrator said Monday.","A council of up to nine Iraqis will probably lead the country's still unformed interim government through the coming months, the American civil administrator said Monday."
796,1,2217613,2217659,"He was arrested Friday night at an Alpharetta seafood restaurant while dining with his wife, singer Whitney Houston.",He was arrested again Friday night at an Alpharetta restaurant where he was having dinner with his wife.
797,1,3057898,3057973,They found molecules that can only be produced when ozone breaks down cholesterol.,And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.
798,1,2052102,2052009,"Ghulam Mahaiuddin, head of administration in the southern province of Helmand, said the bus blast happened early in the morning, west of the provincial capital Lashkargah.","The bus blast in Helmand happened early in the morning in Nadi Ali district, west of the provincial capital Lashkargah."
799,1,2025345,2025384,Synthes-Stratec's cash payment for Mathys would be financed with cash on hand plus bank borrowings being arranged by Credit Suisse First Boston.,"Synthes-Stratec's cash payment for Mathys will be made up of money on hand, plus bank borrowings arranged by Credit Suisse First Boston."
800,1,800170,800387,Defense Secretary Donald H. Rumsfeld and others argued that Saddam Hussein possessed chemical and biological weapons and was hiding them.,"Defense Secretary Donald H. Rumsfeld and others argued that Saddam Hussein (news - web sites) possessed chemical, biological and other weapons and was hiding them."
801,1,1114071,1114169,The numbers highlight a conundrum: the difficulty of classifying racial and ethnic categories in an increasingly fluid and multi-ethnic society.,"As stark as the numbers themselves, is the conundrum they highlight: the growing difficulty of classifying racial and ethnic categories in an increasingly fluid and multi-ethnic society."
802,1,126756,126728,"""Kmart needs to dramatically overhaul management in the areas of buying, store operations and sourcing,"" he said.","Overall, ""Kmart needs to dramatically overhaul management in the areas of buying, store operations and sourcing,"" said Burt Flickinger of Strategic Resource Group."
803,1,2826484,2826474,The fight over online music sales was disclosed in documents filed last week with the judge and made available by the court yesterday.,The fight over online music sales was disclosed in documents made available Monday by the court.
804,1,1311599,1311475,The two cases concerned the admissions policies of the University of Michigan's law school and undergraduate college.,"The two cases were from the University of Michigan, one involving undergraduate admissions and the other, law school admissions."
807,1,276585,276121,Congo's war began in 1998 when Uganda and Rwanda invaded to back rebels fighting to topple the central government.,The Democratic Republic of Congo's war began in 1998 when Uganda and Rwanda invaded together to back rebels trying to topple Kinshasa.
809,1,2123408,2123821,She said Jane Doe's lawyers asked Verizon to withhold her name because she was planning on challenging the subpoena.,"Jane Doe, deciding to fight the subpoena, asked Verizon to withhold her name."
810,1,2809238,2809225,The two men were allegedly trying to engage Russian exiles in Britain in the assassination plot.,The informant alleged that the two arrested men were trying to engage Russian exiles in Britain in the conspiracy to kill Mr Putin.
811,1,1642377,1641945,"The council comprises 13 Shi'ites, five Sunni Arabs, five Kurds, an Assyrian Christian and a Turkmen.","The council includes 13 Shiites, five Kurds, five Sunnis, one Christian and one Turkoman."
813,1,2208376,2208198,"University of Michigan President Mary Sue Coleman said in a statement on the university's Web site, ""Our fundamental values haven't changed.","""Our fundamental values haven't changed,"" Mary Sue Coleman, president of the university, said in a statement in Ann Arbor."
815,1,2510105,2510295,"The company is working with the ObjectWeb consortium, Apache Software Foundation and the Eclipse IDE development community as part of the effort.","This framework will be based on the company's work with the ObjectWeb consortium, Apache Software Foundation and the Eclipse IDE community."
821,1,1980654,1980641,The first products are likely to be dongles costing between US$100 and US$150 that will establish connections between consumer electronics devices and PCs.,The first products will likely be dongles costing $100 to $150 that will establish connections between consumer electronics devices and PCs.
822,1,409061,408834,"A base configuration with a 2.0GHz Intel Celeron processor, 128M bytes of memory, a 40G-byte hard drive, and a CD-ROM drive costs US$729.","A base configuration with a 2.4GHz Pentium 4, 128MB of RAM, a 40GB hard drive, and a CD-ROM drive costs $699."
823,1,2614750,2614861,"""We have some small opportunities in November and maybe January,"" Mr. Parsons said optimistically.","""I think we have some opportunities -- some small opportunities -- in November and possibly January,"" he said."
827,1,368268,368013,Vaccine makers have been thrust into the limelight as government programs to encourage wider vaccination and fears of biological attacks on civilian and military targets.,Vaccine makers have been thrust into the limelight as government programs encourage wider vaccination amid fears of biological attacks.
830,1,957412,957368,"Less than a month after departing her anchor's chair at ""Dateline NBC,"" Jane Pauley has signed a new deal with NBC to host a syndicated daytime talk show.","Less than a month after leaving as host of ""Dateline NBC,"" Pauley agreed Thursday to launch a daytime talk show for NBC Enterprises."
831,1,67647,67568,"""The releases are the latest in a series of efforts by the government to move Myanmar to multi-party democracy and national conciliation.""","""The releases are the latest in a series of efforts by the government to move Myanmar closer to multiparty democracy and national reconciliation,"" a government statement said."
833,1,401776,401856,"A few hours later, the House voted 256 to 170 to pass the Healthy Forest Restoration Act sponsored by Rep. Scott McInnis, R-Colo.","The House voted 256-170 on Tuesday to approve the bill sponsored by Rep. Scott McInnis, R-Colo."
834,1,1093801,1093505,"I would like to publicly thank Sir Alex Ferguson for making me the player I am today.""","I would like to publicly thank Sir Alex Ferguson for making me the player I am today, Beckham said in the statement."
836,1,364285,364510,More than 130 people and $17 million have been seized nationwide in operations by the FBI and other agencies to stop cybercrime.,More than 130 people have been arrested and $17 million worth of property seized in an Internet fraud sweep announced Friday by three U.S. government agencies.
840,1,816362,816340,"Without going into specifics, Oracle managers also indicated PeopleSoft's roughly 8,000 workers could expect mass layoffs.","Oracle managers also indicated PeopleSoft's roughly 8,000 workers could expect mass layoffs, though they did not get into specifics."
841,1,2444625,2444663,"""I am happy to be here in the United States, far away from the clutches of the tyrant Castro,"" Wilson said through a Spanish interpreter.","""I am very happy to be here in the United States far away from the clutches of the tyrant Castro,"" Wilson told the judge."
842,1,1636060,1635946,"Michel, who remains in the government, denied that US pressure had provoked the government's move.","Michel, who has stayed in the new government, denied that it was U.S. pressure which had provoked the government's move."
844,1,2907521,2907231,"In January 1996, two of his nude models were arrested atop of a Manhattan snowdrift, posed beneath an ice-cream parlor sign that advertised Frozen Fantasies.","On Jan. 12, 1996, two of his nude models were arrested atop of a Manhattan snowdrift, posed beneath an ice-cream parlor sign that advertised ""Frozen Fantasies."""
845,1,2045000,2045542,Lakhani was charged with attempting to provide material support and resources to a terrorist group and acting as an arms broker without a license.,"He was charged with attempting to provide material support and resources to terrorists, and dealing arms without a licence."
846,1,1128342,1128293,General Motors Corp. posted a record 8.4 percent improvement in 2000.,General Motors Corp. posted the best-ever improvement in 2000 at 8.4 percent.
848,1,75607,75647,Her detention brings to 19 the number of the 55 most-wanted Iraqis now in US custody.,Her detention brings to 19 the number of the 55 who have been caught.
850,1,2494709,2494434,"""Contrary to the court's decision, we firmly believe Congress gave the FTC authority to implement the national Do Not Call list.","""Contrary to the court's decision, we firmly believe Congress gave the F.T.C. authority to implement the national do-not-call list,"" the congressmen said in a statement."
851,1,2331916,2331805,"Ruffner, 45, doesn't yet have an attorney in the murder charge, authorities said.","Ruffner, 45, does not have a lawyer on the murder charge, authorities said."
852,1,1630585,1630657,Some of the computers also are used to send spam e-mail messages to drum up traffic to the sites.,Some are also used to send spam e-mail messages to boost traffic to the sites.
853,1,1149320,1149378,"It also faces significant regulatory delays and uncertainty, and threatens serious damage to the company's business, he added.","""It is highly conditional, faces significant regulatory delays and uncertainty, and threatens serious damage to our business."""
854,1,2566479,2566562,Mason said al-Amoudi was arrested at Dulles International Airport on Sunday as he came into the country.,Al-Amoudi was arrested at Dulles International Airport after arriving on a British Airways flight from London.
855,1,822726,822816,"I never thought I'd write these words, but here goes: I miss Vin Diesel.","I never thought I'd say this, but I almost missed Vin Diesel at first."
857,1,1363174,1362840,"Those findings, published in today's Journal of the American Medical Association, are the latest bad news about estrogen-progestin therapy.","The findings, published Tuesday in the Journal of the American Medical Association, were the latest bad news about estrogen-progestin therapy."
859,1,2635090,2635234,Experts said the case marks one of the first times in which a parent was charged with contributing to a child's suicide.,Legal experts say the case may mark the first time a parent has been convicted of contributing to a child's suicide.
860,1,885963,886113,An amendment to remove the exemption for the state-sanctioned sites failed on a much closer 237-186 vote.,An amendment to remove such protections failed by a vote of 186 to 237.
861,1,1367262,1366598,The AP quotes a local policeman as saying the British troops were targeted by townspeople angry over civilian deaths during a demonstration yesterday in the town of Majar Al-Kabir.,Associated Press quotes a local policeman as saying that the British troops were targeted by townspeople angry over civilian deaths during an earlier demonstration in the town of Majar al-Kabir.
862,1,144649,144855,"Baer said he had concluded that lawyers for the two victims ""have shown, albeit barely ... that Iraq provided material support to bin Laden and al-Qaeda"".","Judge Harold Baer concluded Wednesday that lawyers for the two victims ""have shown, albeit barely ... that Iraq provided material support to bin Laden and al-Qaida."""
863,1,1311944,1312142,"Mayor Michael R. Bloomberg said yesterday that the men's behavior ""was a disgrace, and totally inappropriate for city employees.""","Mayor Bloomberg said the ""behavior of the people in question was a disgrace and totally inappropriate for city employees."""
864,1,1904549,1904949,"Right now, only six states do: Arkansas, Michigan, Minnesota, New Jersey, Virginia, and Wisconsin.","Manuals produced by only six states _ Arkansas, Michigan, Minnesota, New Jersey, Virginia and Wisconsin _ now have such sections."
866,1,816832,816868,Mr. Brendsel is expected to remain with the Freddie Mac Foundation.,Freddie expects Brendsel to continue serving as chair of the Freddie Mac Foundation.
867,1,2480058,2479942,"They also are reshaping the retail business relationship elsewhere, as companies take away ideas and practices that change how they do business in their own firms and with others.","They also are reshaping the retail-business relationship, as companies take away concepts and practices that change how they do business internally and with others."
869,1,532804,532661,"Frank Quattrone, the former Credit Suisse First Boston technology investment-banking guru, reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering.",NEW YORK -(Dow Jones)- Former star investment banker Frank Quattrone pleaded not guilty Tuesday to criminal charges of obstruction of justice and witness tampering.
870,1,544327,544219,"It is the fifth such election in Iraq, after the northern city of Mosul and three cities in Iraq's south.",Other elections have taken place in the northern city of Mosul and three cities in Iraq's south.
871,1,722149,721936,It said a civil complaint by the Securities and Exchange Commission is expected as well.,Stewart also faces a separate investigation by the Securities and Exchange Commission.
872,1,2123788,2123881,"""This individual's lawyers are trying to obtain from the court a free pass to download or upload music online illegally.""","""Her lawyers are trying to obtain a free pass to download or upload music on-line illegally."
875,1,1959733,1960031,"But SCO has hit back, saying: ""We view IBM's counterclaim filing today as an effort to distract attention from its flawed Linux business model.","In a statement, an SCO spokeman said, ""We view IBM's counterclaim filing today as an effort to distract attention from its flawed Linux business model."
876,1,994934,994692,Helicopters hovered over al-Khalidiya into the early hours of Sunday.,Helicopters hovered throughout the day over the Al-Khalidiya neighborhood where the raid took place.
877,1,2500633,2500732,"If Walker appeals Parrish's ruling, it would stop the extradition process and could take several months, Rork said.","The appeal would stop the extradition process and could take several months, Rork said."
878,1,2828314,2828036,"Boykin’s also referred to Islamist fighters as America’s “spiritual enemy” that, “will only be defeated if we come against them in the name of Jesus”.","Our ""spiritual enemy,"" Boykin continued, ""will only be defeated if we come against them in the name of Jesus."""
879,1,753887,753925,The first vulnerability is a buffer overrun that results from IE's failure to properly determine an object type returned from a Web server.,"First up, Microsoft said a buffer overrun vulnerability occurs because IE does not properly determine an object type returned from a Web server."
880,1,3320834,3320891,"""To make sure that we avoided any perception of wrongdoing, we are not co-mingling appropriated and non-appropriated funds (from Congress),"" said Faletti.","""To make sure that we avoided any perception of wrongdoing, we are not comingling appropriated and nonappropriated funds [from Congress],"" said Faletti."
881,1,98431,98656,"In Falluja on Thursday, two grenades were thrown at soldiers from the Third Armored Cavalry Regiment, wounding seven.","In Al-Fallujah, two grenades were thrown Thursday at soldiers from the 3rd Armored Cavalry Regiment, wounding seven, none seriously."
882,1,1888279,1887736,"Prince Saud said, ""The Kingdom of Saudi Arabia has been wrongfully and morbidly accused of complicity in the tragic terrorist attacks of September 11, 2001.""","""The kingdom of Saudi Arabia has been wrongfully and morbidly accused of complicity in the tragic terrorist attacks of Sept. 11, 2001,"" he said."
883,1,3179086,3179247,"""If the voluntary reliability standards were complied with, we wouldn't have had a problem.""","""If the voluntary reliability standards had been complied with, we wouldn't have had a problem,"" Mr. Dhaliwal said."
885,1,1606495,1606619,"Bush also hoped to polish his anti-AIDS credentials in Uganda, which has been hailed as an African pioneer in fighting the killer disease.",President Bush flies to Uganda Friday hoping to polish his anti- AIDS credentials in a country hailed as an African pioneer in fighting the epidemic.
886,1,2426433,2426378,"Shares of MONY were gaining $2.57, or 9%, to $31.90 in after-hours trading on Instinet.",MONY shares rose 8.76 per cent to $31.90 in after-hours trading in New York.
889,1,3049097,3049174,If achieved it would represent an increase of 10 per cent from the same quarter a year ago.,"That would represent an increase of some 10 per cent from the year before, it added."
892,1,1729777,1729703,"In the second quarter last year, the company experienced a net loss of $185 million, or 54 cents a share, on sales of $600 million.","The company posted a net loss of $185 million, or 54 cents per share, in the year-earlier period, it said in a statement Wednesday."
894,1,1144181,1144125,"We need a certifiable pay as you go budget by mid-July or schools wont open in September, Strayhorn said.","Texas lawmakers must close a $185.9 million budget gap by the middle of July or the schools wont open in September, Comptroller Carole Keeton Strayhorn said Thursday."
895,1,2009781,2009643,"In 1995, Schwarzenegger expanded the program nationwide to serve 200,000 children in 15 cities, most who come from housing projects or homeless shelters.","In 1995, Schwarzenegger expanded the program nationwide to 15 cities, serving 200,000 children, most of whom come from housing projects or homeless shelters."
896,1,1657933,1657875,"A spokesman said: ""Further testing is under way but at this stage, given the early detection, the outlook is positive.""","""Further testing is still under way, but at this stage, given the early detection, the outlook in such instances would be positive,"" the specialist said yesterday."
897,1,1550897,1550977,"Later this year, the command will send trainers with soldiers from four North African nations on patrolling and intelligence gathering missions.",This fall the command will send trainers to work with soldiers from four North African nations on patrolling and gathering intelligence.
898,1,908371,908485,"Except for a few archaic characteristics, they are as recognizable as Hamlet's poor Yorick.","Except for a few archaic characteristics, the skulls are readily recognizable."
900,1,390669,390518,"Only two other countries, Germany and the Dominican Republic, have publicly expressed reservations, and Germany has since said it will sign it.","Only two other countries, the Dominican Republic and Germany, publicly expressed reservations about the treaty, and Germany has since said it will support the pact."
901,1,1786751,1786721,The settlement includes $4.1 million in attorneys' fees and expenses.,Plaintiffs' attorneys would get $4.1 million of the settlement.
903,1,2396402,2396167,"Dick is going to be there as long as Dick wants to be there,"" Reuters reports Langone as saying.","""Dick is going to be there as long as Dick wants to be there."""
904,1,2224083,2223824,The state has received 19 entries in a competition for a World Trade Center Memorial and is working with families of victims to select a winner.,The state has received 19 entries in that competition and is working with families of victims to select a winner.
905,1,3331063,3330996,"However, John Clare, chief executive of the Dixons Group, expressed his disappointment.","John Clare, Dixons chief executive, objected to the Commission's findings."
907,1,2594785,2594802,"U.S. manufacturing growth expanded for the third straight month in September but at a slower pace, according to a report released shortly after the opening bell.","US manufacturing grew for the third consecutive month in September, but at a slower rate than in previous months, according to a survey released Wednesday."
908,1,2560775,2560832,"Microsoft has described the technology as ""a brand new client platform for building smart, connected, media rich applications in Longhorn.""","Microsoft calls it: ""A brand new client platform for building smart, connected, media-rich applications in Longhorn."""
910,1,2983733,2983954,It is rare for a legal challenge to occur before a bill becomes law.,Experts say legal challenges are rare before a bill becomes law.
911,1,3150046,3150090,"St. Paul Chairman and Chief Executive Jay S. Fishman, 51, will be CEO of the combined company.","Jay Fishman, 51, chairman and chief executive of St Paul, will be chief executive of the combined company."
914,1,1330508,1330636,"""It should have reported that it was sailing with an atomic bomb cargo,"" Anomeritis said, referring to the quantity of explosives on board.","""It should have declared that it was sailing with a cargo that was like an atomic bomb,"" said Anomeritis."
915,1,799342,799270,"Mr. Bergonzi was the finance chief from 1995 until his departure in 1999, and was intimately involved in the alleged scheme to pump up Rite Aid's earnings.","Mr. Bergonzi was the chief financial officer from 1995 until his departure, and was intimately involved in many of the alleged schemes to pump up Rite Aid's earnings."
916,1,1257219,1257412,"The Aspen Fire had charred more than 12,400 acres by today on Mount Lemmon just north of Tucson, and more than 250 homes had been destroyed.","The fire has so far charred 11,400 acres on Mount Lemmon just north of Tucson, and more than 250 homes have been destroyed."
917,1,430306,430336,They said he would be open to letting that license go to the city of Chicago.,Schafer said the governor would be open to offering that last license for a riverboat in Chicago.
918,1,3256259,3256410,"It argued that such access ""is not required by domestic or international law and should not be treated as a precedent.""","The Pentagon statement said that allowing Hamdi access to a lawyer ""is not required by domestic or international law and should not be treated as a precedent."""
919,1,1549140,1549120,"The male eagle was found by a zookeeper early Thursday, suffering from severe puncture wounds in his abdomen.","The 21-year-old eagle, found by a zookeeper early Thursday, had severe puncture wounds to his abdomen and back, spokeswoman Julie Mason said."
920,1,1267764,1267499,He served as a marine in the Second World War and afterward began submitting articles to magazines.,"After serving as a marine in World War II, he began submitting articles to magazines."
922,1,622377,622296,"In Taiwan, the capital's mayor and other officials handed out free thermometers in a islandwide ``take-your-temperature'' campaign Sunday, amid evidence that containment efforts were also paying off.","In Taiwan, officials handed out free thermometers in an island-wide ``take-your-temperature'' campaign amid signs containment efforts were paying off."
925,1,544218,544326,"American forces here organized the elections, which officials say are important steps toward establishing democracy in Iraq.","U.S. forces organized the elections, which officials said were a step toward establishing democracy in the nation."
927,1,851920,851911,"""If draining the ponds in Maryland will help further establish [his] innocence, we welcome it.","If draining the ponds in Maryland will further help establish Steve's innocence, we welcome it."""
928,1,862717,862805,"But Cruz resembled a police sketch of the suspect and had injuries consistent with what police expected from the struggle he had with the girl's mother, Lansdowne said.","Cruz looked like a police sketch of the suspect and had injuries consistent with what police expected from the struggle he had with Jennette's mother, Chief William Lansdowne said."
930,1,14644,14613,"A number below 50 suggests contraction in the manufacturing sector, while a number above that indicates expansion.","A reading above 50 suggests growth in the sector, while a number below that level indicates contraction."
931,1,578442,577829,Half of the women were given a daily dose of the drug and half took a placebo.,Half the women received a daily tablet of the combination oestrogen plus progestin while the rest were given a placebo.
933,1,1352610,1352741,"Mr. Bloomberg later told reporters that the agreement ""will be a compromise, like the real world requires.""","""It will be a compromise, like the real world requires,"" he said."
937,1,1467373,1467347,"IBM is also ""pursuing membership in the group"" and plans to be an active participant, according to the CELF statement.",CELF said IBM is pursuing membership and plans to be an active participant in the forum.
938,1,1518091,1518014,"Through Thursday, Oracle said 34.75 million PeopleSoft shares had been tendered.","Some 34.7 million shares have been tendered, Oracle said in a statement."
940,1,2704026,2704076,The FBI is trying to determine when White House officials and members of the vice president’s staff first focused on Wilson and learned about his wife’s employment at the agency.,The FBI is trying to determine when White House officials and members of the vice president's staff focused on Wilson and learned about his wife's employment.
945,1,2769016,2768961,The face of President Saddam Hussein was added to Iraqi currency after the 1991 Gulf War.,Saddam's portrait was added to Iraq's currency after the Gulf War.
948,1,2496469,2496417,"The Nikkei average ended trading down 1.83 percent at 10,310.04, a four-week low.","The Nikkei average .N225 was down 1.83 percent or 192.25 points at 10,310.04, its lowest close since August 28."
949,1,2423623,2423339,That exploit works on unpatched Windows 2000 machines with Service Pack 3 and 4.,Both Counterpane and iDefense contend that the exploit works effectively against Windows 2000 systems running Service Pack 3 and 4.
